Key,Spanish,French,English
Main.VoletTypeWindow.HelpPanel.RollersText,"Los rodillos para piscinas elevadas permiten una perfecta conservación de la cubierta.

Los rodillos para piscinas elevadas facilitan el manejo del cobertor de verano. Una vez recogido, es sencillo trasladarlo al lugar donde se almacena, dejando libre la zona de baño. Disponen de un dispositivo de frenado para bloquear el cilindro y son muy resistentes.","Les enrouleurs pour piscines hors-sol assurent une protection optimale de la couverture.

Ces enrouleurs facilitent la manipulation de la couverture d'été. Une fois rétractée, il est simple de la ranger, libérant ainsi l'espace de baignade. Ils sont équipés d'un système de freinage pour bloquer le cylindre et sont très résistants.","Rollers for above-ground pools ensure the cover is perfectly preserved.

These rollers make handling the summer cover easier. Once retracted, it's simple to move it to its storage location, leaving the swimming area clear. They feature a braking device to lock the cylinder and are very durable."
Main.PoseWindow.GuidanceText,Posiciona la persiana.  Pulsa el candado cuando hayas finalizado.,Positionnez le volet. Appuyez sur le verrou une fois terminé.,Position the blind. Press the lock when you're finished.
Main.PoseWindow.HelpPanel.TranslationText,Utilice un dedo para mover el volet.,Utilisez un doigt pour déplacer la volée.,Use one finger to move the volley.
Main.PoseWindow.HelpPanel.RotationText,Utilice el control deslizante en la pantalla para girar el volet.,Utilisez le curseur à l'écran pour faire pivoter le volet.,Use the slider on the screen to rotate the volet.
Main.Volet.GuidanceText,Manten pulsado sobre un botón para conocer que hace.,Appuyez longuement sur un bouton pour découvrir sa fonction.,Press and hold a button to find out what it does.
DebugText.PasswordRecovery.UsuarioNoExiste,Este usuario no existe en nuestra base de datos.,Cet utilisateur n'existe pas dans notre base de données.,This user does not exist in our database.
DebugText.PasswordRecovery.Error,La conexión ha fallado.,La connexion a échoué.,The connection has failed.
DebugText.ChangePassword.Error,La conexión ha fallado.,La connexion a échoué.,The connection has failed.
DebugText.ChangePassword.DiferenteAnterior,La nueva contraseña debe ser diferente que la anterior.,Le nouveau mot de passe doit être différent du précédent.,The new password must be different from the previous one.
,,,
,,,
DebugText.ChangePassword.FaltanDatos,Faltan datos por rellenar.,Des champs de données sont manquants.,Data fields are missing.
DebugText.ChangePassword.CambiadaCorrectamente,Contraseña cambiada correctamente!,Mot de passe modifié avec succès !,Password changed successfully!
DebugText.ChangePassword.OtherError,La contraseña no es correcta o el usuario no existe en nuestra base de datos.,Le mot de passe est incorrect ou l'utilisateur n'existe pas dans notre base de données.,The password is incorrect or the user does not exist in our database.
DebugText.LoginIntoApplication.Error,La conexión ha fallado.,La connexion a échoué.,The connection has failed.
DebugText.LoginIntoApplication.LicenciaDispositivo,La licencia del usuario está vinculada a otro dispositivo.,La licence de l'utilisateur est liée à un autre appareil.,The user's license is linked to another device.
DebugText.LoginIntoApplication.LoginIncorrecto,La contraseña no es correcta o el usuario no existe en nuestra base de datos.,Le mot de passe est incorrect ou l'utilisateur n'existe pas dans notre base de données.,The password is incorrect or the user does not exist in our database.
DebugText.LoginIntoApplication.UserIncorrecto,Este usuario no existe en nuestra base de datos.,Cet utilisateur n'existe pas dans notre base de données.,This user does not exist in our database.
DebugText.LoginIntoApplication.UserNotValidated,Este usuario no aún no esta validado. En caso de cualquier problema contacte con xxx@xx.xx.,"Cet utilisateur n'est pas encore validé. En cas de problème, veuillez contacter xxx@xx.xx.","This user is not yet validated. If you have any problems, please contact xxx@xx.xx."
DebugText.LoginIntoApplication.WishToSeeTutorial,Desea realizar un tutorial antes de iniciar la aplicación?,Souhaiteriez-vous suivre un tutoriel avant de commencer l'application ?,Would you like to complete a tutorial before starting the application?
DebugText.LoginIntoApplication.DontShowTutorialOtherTime,No volver a mostrar este mensaje,Ne plus afficher ce message,Don't show this message again
DebugText.LoginIntoApplication.FaltanCampos,Faltan campos por rellenar...,Il manque des champs...,There are fields missing...
DebugText.LoginIntoApplication.CargandoContenido,Cargando contenido. Espere...,Chargement du contenu. Veuillez patienter...,Loading content. Please wait...
DebugText.LoginIntoApplication.AccountDeleted,Tu cuenta ha sido eliminada.,Votre compte a été supprimé.,Your account has been deleted.
DebugText.DeviceAccountBinder.Error,La conexión ha fallado.,La connexion a échoué.,The connection has failed.
DebugText.DeviceAccountBinder.DispositivoYaVinculado,Dipositivo ya vinculado.,Appareil déjà connecté.,Device already linked.
DebugText.DeviceAccountBinder.UserIncorrecto,La contraseña no es correcta o el usuario no existe en nuestra base de datos.,Le mot de passe est incorrect ou l'utilisateur n'existe pas dans notre base de données.,The password is incorrect or the user does not exist in our database.
DebugText.RegisterAccount.Error,La conexión ha fallado.,La connexion a échoué.,The connection has failed.
DebugText.RegisterAccount.FaltanDatos,Faltan datos por rellenar.,Des champs de données sont manquants.,Data fields are missing.
DebugText.RegisterAccount.UserIncorrecto,La contraseña no es correcta o el usuario no existe en nuestra base de datos.,Le mot de passe est incorrect ou l'utilisateur n'existe pas dans notre base de données.,The password is incorrect or the user does not exist in our database.
DebugText.RegisterAccount.DiffPassword,La contraseña y la confirmación de la contraseña no coinciden,Le mot de passe et sa confirmation ne correspondent pas.,The password and password confirmation do not match
DebugText.RegisterAccount.DiffEmail,El correo y la confirmación del correo no coinciden,L'e-mail et la confirmation par e-mail ne correspondent pas.,The email and the email confirmation do not match
DebugText.RegisterAccount.EmailTaken,Ese correo electrónico ya esta siendo utilizado por un usuario.,Cette adresse e-mail est déjà utilisée par un utilisateur.,That email address is already being used by a user.
DebugText.RegisterAccount.NoCumpleRequisitos,"La contraseña debe tener mínimo 8 digitos, una mayúscula, una minúscula y un número.","Le mot de passe doit comporter au minimum 8 caractères, une lettre majuscule, une lettre minuscule et un chiffre.","The password must have a minimum of 8 characters, one uppercase letter, one lowercase letter, and one number."
DebugText.RegisterAccount.TelefonoIncorrecto,El campo 'telefono' no tiene una forma correcta.,Le champ « téléphone » ne possède pas de formulaire correct.,The 'telephone' field does not have a correct form.
DebugText.RegisterAccount.FormatoEmailIncorrecto,El formato del correo es incorrecto. Debe ser algo como: nombre@dominio.com,Le format de l'adresse e-mail est incorrect. Il devrait ressembler à : nom@domaine.com,The email format is incorrect. It should be something like: name@domain.com
DebugText.RegisterAccount.AppCodeIncorrecto,Contraseña de la aplicación incorrecto.,Mot de passe de l'application incorrect.,Incorrect application password.
DebugText.RegisterAccount.AppCodeInfo,Insterte la contraseña de la aplicación:,Saisissez le mot de passe de l'application :,Enter the application password:
,,,
DebugText.LoginIntoApplication.usuarioInactivo,Usuario inactivo. Contacte con arpoolfluidra@gmail.com para activarlo.,Compte utilisateur inactif. Veuillez contacter arpoolfluidra@gmail.com pour l'activer.,Inactive user. Contact arpoolfluidra@gmail.com to activate it.
Main.ButtonHoldPopup.Pose,Este botón te permite ajustar la posición y rotación de la persiana.,Ce bouton permet de régler la position et la rotation du volet.,This button allows you to adjust the position and rotation of the blind.
Main.ButtonHoldPopup.Width,Botón para configurar la anchura de la persiana.,Bouton permettant de régler la largeur du volet.,Button to set the width of the blind.
Main.ButtonHoldPopup.Length,Botón para configurar la longitud de la persiana.,Bouton permettant de régler la longueur du volet.,Button to set the length of the blind.
Main.ButtonHoldPopup.Railes,Botón para mover la volet sobre los raíles.,Bouton permettant de déplacer le volet sur les rails.,Button to move the volet on the rails.
Main.ButtonHoldPopup.Herramientas,Botón para desplegar un submenú de herramientas.,Bouton permettant d'afficher un sous-menu d'outils.,Button to display a submenu of tools.
Main.ButtonHoldPopup.TechnicalPlane,Con este botón podrás obtener un plano técnico de tu persiana.,Ce bouton vous permet d'obtenir un dessin technique de votre volet.,With this button you can obtain a technical drawing of your blind.
Main.ButtonHoldPopup.ReglaAR,Con este botón podrás utilizar una regla en Realidad Aumentada.,Ce bouton permet d'utiliser une règle en réalité augmentée.,With this button you can use a ruler in Augmented Reality.
Main.ButtonHoldPopup.DesignSoportes,Este botón te permite configurar el tipo de soporte de la persiana.,Ce bouton vous permet de configurer le type d'assistance aux personnes aveugles.,This button allows you to configure the type of support for the blind.
Main.ButtonHoldPopup.DesignColorLamas,Este botón te permite configurar la estética de las lamas.,Ce bouton vous permet de configurer l'apparence des lattes.,This button allows you to configure the appearance of the slats.
Main.BackButton.ToVolet,Estás seguro que deseas volver a atrás? Perderas todas las configuraciones guardadas.,Êtes-vous sûr de vouloir revenir en arrière ? Toutes les configurations enregistrées seront perdues.,Are you sure you want to revert? You will lose all saved settings.
Main.BackButton.ToMainMenu,Estás seguro que deseas volver al menu de inicio?,Êtes-vous sûr de vouloir retourner au menu principal ?,Are you sure you want to return to the home menu?
Main.ButtonHoldPopup.DesignColorLamasTarima,Este botón te permite configurar la estética de las lamas de la tarima.,Ce bouton vous permet de configurer l'esthétique des lames de terrasse.,This button allows you to configure the aesthetics of the decking boards.
Main.ButtonHoldPopup.DesignLeBanc,Este botón te permite configurar la estética del banco.,Ce bouton vous permet de configurer l'apparence de la banque.,This button allows you to configure the bank's appearance.
Tutorial.Texto.Bienvenida,"Bienvenido al tutorial de CovAR

Te iremos explicando paso a paso como funciona la aplicación.

Pulsa OK para empezar el tutorial.","Bienvenue dans le tutoriel CovAR.

Nous allons vous guider pas à pas à travers le fonctionnement de l'application.

Appuyez sur OK pour commencer le tutoriel.","Welcome to the CovAR tutorial.

We'll guide you step-by-step through how the application works.

Press OK to begin the tutorial."
Tutorial.Texto.ARMark,"Apunta hacia el suelo hasta que aparezca una marca, a continuación, púlsala.","Orientez-le vers le sol jusqu'à ce qu'une marque apparaisse, puis appuyez.","Point it towards the ground until a mark appears, then press it."
Tutorial.Texto.ExplicacionMenus1,"Como puedes ver en la imagen, dispones de dos menús para configurar tus persianas.","Comme vous pouvez le voir sur l'image, vous disposez de deux menus pour configurer vos volets","As you can see in the image, you have two menus to configure your blinds."
Tutorial.Texto.ExplicacionMenus2,"En la izquierda, tenemos el menú general donde desplazar, configurar las dimensiones de la persiana y acceder al plano técnico.","À gauche, vous trouverez le menu général qui vous permet de faire défiler les options, de configurer les dimensions du volet et d'accéder au dessin technique.","On the left, we have the general menu where you can scroll, configure the dimensions of the blind and access the technical drawing."
Tutorial.Texto.ExplicacionMenus3,"Por último, a la derecha, tenemos el menú de diseño, donde podemos personalizar la persiana a nuestro gusto.","Enfin, à droite, se trouve le menu de personnalisation, qui nous permet de personnaliser le volet à notre guise.","Finally, on the right, we have the design menu, where we can customize the blind to our liking."
Tutorial.Texto.SiguientePaso,SIGUIENTE PASO,ÉTAPE SUIVANTE,NEXT STEP
Tutorial.Texto.Desplazamiento1,Pulsa el botón que habilita el desplazamiento y rotación de la persiana.,Appuyez sur le bouton qui permet le mouvement et la rotation du volet.,Press the button that enables the movement and rotation of the blind.
Tutorial.Texto.Desplazamiento2,Desplaza tu dedo hacia la posición donde deseas colocar la persiana.,Déplacez votre doigt à l'endroit où vous souhaitez placer le volet,Move your finger to the position where you want to place the blind.
Tutorial.Texto.Desplazamiento3,"Desplaza el circulo de rotación 
situado en la barra inferior, para ajustar la rotación de la persiana.","""Déplacez le cercle de rotation situé sur la barre inférieure pour ajuster la rotation du volet.""",Move the rotation circle located on the bottom bar to adjust the rotation of the blind.
Tutorial.Texto.Anchura1,Pulsa el botón para poder modificar la anchura de la persiana.,Appuyez sur le bouton pour régler la largeur du volet,Press the button to adjust the width of the blind.
Tutorial.Texto.Anchura2,"Desplaza el circulo situado en la barra inferior, para ajustar la anchura de la persiana.",Déplacez le cercle situé sur la barre inférieure pour ajuster la largeur du volet.,Move the circle located on the bottom bar to adjust the width of the blind.
Tutorial.Texto.Anchura3,También puedes modificar la amplitud de la persiana utilizando los botones,Vous pouvez également régler la largeur du volet à l'aide des boutons.,You can also adjust the width of the blind using the buttons
Tutorial.Texto.Largura1,Pulsa el botón para poder modificar la longitud de la persiana.,Appuyez sur le bouton pour régler la longueur du volet.,Press the button to adjust the length of the blind.
Tutorial.Texto.Largura2,"Desplaza el circulo situado en la barra inferior o pulsa los botones

para ajustar la longitud de la persiana. ","Déplacez le cercle sur la barre inférieure ou appuyez sur les boutons 

pour régler la longueur du volet.","Move the circle on the bottom bar or press the buttons

to adjust the blind's length."
Tutorial.Texto.Soportes1,Pulsa el botón para poder modificar los soportes de la persiana.,Appuyez sur le bouton pour modifier les supports de volet.,Press the button to modify the blind supports.
Tutorial.Texto.Soportes2,Selecciona el modelo que desees.,Sélectionnez le modèle que vous souhaitez.,Select the model you want.
Tutorial.Texto.Soportes3,Selecciona el color que desees.,Sélectionnez la couleur que vous souhaitez.,Select the color you want.
Tutorial.Texto.Lamas1,Pulsa el botón para poder modificar el color de las lamas de la persiana.,Appuyez sur le bouton pour changer la couleur des lamelles du volet.,Press the button to change the color of the blind slats.
Tutorial.Texto.Lamas2,Selecciona el color que desees.,Sélectionnez la couleur que vous souhaitez.,Select the color you want.
Tutorial.Texto.Screenshot,Pulsa el botón para realizar una captura de pantalla que se guardará en tu dispositivo y que también podrás compartir.,Appuyez sur le bouton pour prendre une capture d'écran qui sera enregistrée sur votre appareil et que vous pourrez également partager.,Press the button to take a screenshot that will be saved to your device and that you can also share.
Tutorial.Texto.FichaTecnica1,Pulsa el botón para abrir la ficha técnica.,Appuyez sur le bouton pour ouvrir la fiche technique.,Press the button to open the technical data sheet.
Tutorial.Texto.FichaTecnica2,"En la ficha técnica, podrás ver un resumen de la configuración de la persiana. Además de poder añadir el nombre del cliente, anotaciones, configurar otras opciones relacionadas con productos asociados a la persiana y hacer una captura de pantalla.","Dans les spécifications techniques, vous trouverez un résumé de la configuration du volet. Vous pouvez également ajouter le nom du client, des notes, configurer d'autres options relatives aux produits associés au volet et effectuer une capture d'écran.","In the technical specifications, you can see a summary of the blind's configuration. You can also add the customer's name, notes, configure other options related to products associated with the blind, and take a screenshot."
Tutorial.Texto.FichaTecnica3,Pulsa el botón de la flecha para volver a la pantalla de configuración y continuar con el tutorial.,Appuyez sur la touche flèche pour revenir à l'écran des paramètres et poursuivre le tutoriel.,Press the arrow button to return to the settings screen and continue with the tutorial.
Tutorial.Texto.HelpPopup,"Si en algún momento quieres recordar que es lo que hacen los botones del menú principal y del menú del diseño, manteniendo pulsado cualquiera de estos desplegará un texto explicativo sobre lo que hacen.","Si vous souhaitez à tout moment vous rappeler à quoi servent les boutons du menu principal et du menu de conception, il vous suffit d'appuyer longuement sur l'un d'eux pour afficher un texte explicatif.","If at any time you want to remember what the buttons in the main menu and the design menu do, pressing and holding any of them will display an explanatory text about what they do."
Tutorial.Texto.EsconderMenus,"Si deseas esconder los botones del menú para visualizar mejor la pantalla, pulsa los botones que se encuentran encima de cada menú.","Pour masquer les boutons du menu et mieux visualiser l'écran, appuyez sur les boutons situés au-dessus de chaque menu.","If you want to hide the menu buttons to better view the screen, press the buttons located above each menu."
Tutorial.Texto.BotonAtras,Pulsa el botón de atrás  para finalizar el tutorial y continuar utilizando la aplicación.,"Pour revenir au menu de conception, appuyez sur le bouton situé en bas du menu.",Press the back button to end the tutorial and continue using the application.
,,,
,,,
,,,
FichaTecnica.Cliente,CLIENTE,CLIENT,CUSTOMER
FichaTecnica.ClienteInput,Entra texto...,Saisissez du texte...,Enter text...
FichaTecnica.Fecha,FECHA:,DATE:,DATE:
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
ColorLama.Blanco,Blanco,Blanc,White
ColorLama.Gris,Gris,Gris,Grey
ColorLama.Gris Medio,Gris Medio,Gris moyen,Medium Gray
ColorLama.Arena,Arena,Sable,Sand
ColorLama.Madera,Madera,Bois,Wood
ColorLama.AzulTransparenteNegro,Azul traslúcido/Negro,Bleu/noir translucide,Translucent Blue/Black
ColorLama.GrisTransparenteNegro,Gris metalizado/Negro,Gris métallisé/noir,Metallic Gray/Black
ColorLama.TransparenteNegro,Traslúcido/Negro,Translucide/Noir,Translucent/Black
MaterialLama.PVC,PVC,PVC,PVC
MaterialLama.Policarbonato,Policarbonato,Polycarbonate,Polycarbonate
MaterialLama.Title,Material lamas:,MATERIAU DES LAMES:,Slat material:
ColorSoporte.Blanco,Blanco,Blanc,White
ColorSoporte.BlancoGrisAntracita,Blanco-Gris Antracita,Blanc-Gris anthracite,White-Anthracite Grey
ColorSoporte.GrisAntracitaBlanco,Gris Antracita-Blanco,Gris anthracite-blanc,Anthracite Grey-White
ColorSoporte.GrisAntracita,Gris Antracita,Gris anthracite,Anthracite Grey
ColorSoporte.BlancoGrisClaro,Blanco-GrisClaro,Blanc-Gris clair,White-Light Gray
ColorSoporte.BlancoAzulTurquesa,Blanco-AzulTurquesa,Blanc-Bleu turquoise,White-Turquoise Blue
ColorSoporte.Sable,Sable,Sabre,Saber
ColorSoporte.Arena,Arena,Sable,Sand
ColorSoporte.Madera,Madera,Bois,Wood
Sumergida.Modelo.SumergidaTapaFuera,Sumergida Tapa fuera,Immergé. Couvercle enlevé.,Submerged. Lid off.
,,,
FichaTecnica.PopUp.InfoScreen.Title,DESCARGAR PLANO TÉCNICO,TÉLÉCHARGER LE DESSIN TECHNIQUE,DOWNLOAD TECHNICAL DRAWING
FichaTecnica.PopUp.InfoScreen.Message,¿Estas seguro de querer guardar esta orden?,Êtes-vous sûr de vouloir enregistrer cette commande ?,Are you sure you want to save this order?
FichaTecnica.PopUp.InfoScreen.Warning,(Es importante rellenar los  datos del cliente ya que se visualizarán el plano técnico),(Il est important de renseigner les coordonnées du client car elles figureront sur le dessin technique.),(It is important to fill in the customer details as they will be displayed on the technical drawing)
FichaTecnica.PopUp.LoadingScreen.Title,GENERANDO PLANO TÉCNICO...,GÉNÉRATION DE DESSINS TECHNIQUES...,GENERATING TECHNICAL DRAWING...
FichaTecnica.PopUp.GoodScreen.Title,PLANO TÉCNICO CORRECTAMENTE DESCARGADO,DESSIN TECHNIQUE TÉLÉCHARGÉ AVEC SUCCÈS,TECHNICAL DRAWING SUCCESSFULLY DOWNLOADED
FichaTecnica.PopUp.NoCustomNameScreen.Title,ESCRIBE EL NOMBRE Y CORREO DEL CLIENTE,ÉCRIVEZ LE NOM ET L'ADRESSE E-MAIL DU CLIENT,WRITE THE CUSTOMER'S NAME AND EMAIL
FichaTecnica.PopUp.BadScreen.Title,HA HABIDO ALGÚN PROBLEMA... LA ORDEN NO SE HA PODIDO GUARDAR,UN PROBLÈME EST SURVENU... LA COMMANDE N'A PAS PU ÊTRE SAUVEGARDÉE,THERE HAS BEEN A PROBLEM... THE ORDER COULD NOT BE SAVED
FichaTecnica.PopUp.Download.Title,DESCARGAR PLANO TÈCNICO,TÉLÉCHARGER LE DESSIN TECHNIQUE,DOWNLOAD TECHNICAL DRAWING
FichaTecnica.PopUp.Download.Text,"Selecciona la opción de descarga y espera unos segundos, el proceso puede llevar un tiempo.",Sélectionnez l'option de téléchargement et patientez quelques secondes ; le processus peut prendre un certain temps.,Select the download option and wait a few seconds; the process may take some time.
FichaTecnica.ProductosAsociados.FichaTecnica.ProductosAsociados.Mecanica.Option1,            -   ,-,-
